"chain_id","data_year","chain_name","parent_chain_id","parent_chain_name","chain_level","chain_description","node_cnt","key_node_cnt","enterprise_cnt","scale_enterprise_cnt","high_tech_cnt","leading_enterprise_cnt","grid_cnt","region_cnt","total_annual_revenue","total_tax_declared","avg_risk_score","high_risk_cnt","invoice_issued_amt_year","invoice_received_amt_year","intra_chain_rel_cnt","supplier_rel_out_cnt","buyer_rel_out_cnt","relation_strength_sum","latest_judgment_time","etl_time"
"1008",2025,绿色低碳产业,,,1,涵盖光伏、风电、氢能等新能源领域。,,,402,81,154,0,10,0,2492181.46,15429.62,16.2235,7,511200.00,96200.00,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1008",2026,绿色低碳产业,,,1,涵盖光伏、风电、氢能等新能源领域。,,,450,71,162,0,10,1,5575349.43,16300.72,17.7982,13,0.00,0.00,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"100802",2025,风电装备,"1008",绿色低碳产业,2,风力发电设备制造,,,2,0,1,0,1,0,28065.50,2938.07,6.3750,0,3696140.31,5038309.43,,,,,,"2026-03-19 21:38:55"
"100803",2025,氢能技术,"1008",绿色低碳产业,2,氢能全产业链技术,,,1,1,0,0,1,0,1001.16,33.76,15.1100,0,3275478.79,3016240.32,,,,,,"2026-03-19 21:38:55"
"1010",2025,现代服务业,,,1,涉及金融科技、物流供应链、科技服务等。,,,718,188,251,0,6,0,36293484.72,1453782.89,16.3645,12,2068704469.23,1744074186.89,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"101001",2025,金融科技,"1010",现代服务业,2,数字化金融服务体系,,,1,0,1,0,1,0,34020.53,4141.58,6.2200,0,1181074.39,2782754.51,,,,,,"2026-03-19 21:38:55"
"101002",2025,物流供应链,"1010",现代服务业,2,智慧化物流网络,,,12,2,4,0,3,0,349135.78,32368.10,21.7058,0,36727460.66,24108032.19,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"101003",2025,科技服务,"1010",现代服务业,2,知识密集型专业服务,,,10,2,4,0,3,0,237017.62,21335.66,9.6700,0,19882643.76,19682595.09,,,,,,"2026-03-19 21:38:55"
"12752.85",2025,,,,,,,,3145,0,0,0,10,0,113487575.39,5353450.45,9.9803,0,20278338.08,3551261.32,,,,,,"2026-03-19 21:38:55"
"1336.29",2025,,,,,,,,858,0,0,0,10,0,21553115.31,785327.40,9.8570,0,3191836.88,568747.21,,,,,,"2026-03-19 21:38:55"
"15327.42",2025,,,,,,,,259,0,0,0,10,0,14537722.16,217710.22,10.4675,0,900411.68,171838.40,,,,,,"2026-03-19 21:38:55"
"2344.98",2025,,,,,,,,19,0,0,0,8,0,124050.86,8922.21,11.9068,0,41849.46,7903.01,,,,,,"2026-03-19 21:38:55"
"2982.64",2025,,,,,,,,31,0,0,0,9,0,210992.09,15628.34,9.3255,0,74313.17,10534.61,,,,,,"2026-03-19 21:38:55"
"3470.14",2025,,,,,,,,169,0,0,0,10,0,5929355.63,125925.28,9.5829,0,509324.93,93374.06,,,,,,"2026-03-19 21:38:55"
"62876.43",2025,,,,,,,,39,0,0,0,10,0,6368814.97,79213.68,9.3405,0,285379.96,47495.65,,,,,,"2026-03-19 21:38:55"
"7138.88",2025,,,,,,,,135,0,0,0,10,0,7777237.36,227385.90,10.4452,0,966818.98,144530.48,,,,,,"2026-03-19 21:38:55"
