project_code,project_name,contract_amount,arrear_amount
东北大学-BI-实施项目,东北大学-BI-实施项目,750000.00,289800.00
中山大学-CRM-实施项目,中山大学-CRM-实施项目,680000.00,
厦门大学-BI-实施项目,厦门大学-BI-实施项目,820000.00,
武汉大学-CRM-实施项目,武汉大学-CRM-实施项目,690000.00,
华中科大-BI-实施项目,华中科大-BI-实施项目,780000.00,
移动广东-MASS-实施项目,移动广东-MASS-实施项目,2800000.00,212800.00
中国电信沪分-MASS-实施项目,中国电信沪分-MASS-实施项目,3200000.00,1236480.00
网易-数据工厂-实施项目,网易-数据工厂-实施项目,3800000.00,
华能集团-数据工厂-实施项目,华能集团-数据工厂-实施项目,5200000.00,
国家电网-数据工厂-实施项目,国家电网-数据工厂-实施项目,6800000.00,
