customer_code,customer_customer_name,customer_industry,customer_province,customer_city,opp_name,opp_status,contract_amount,actual_sign_date
广东省人民医院,广东省人民医院,医疗健康,广东,广州,粤省人民医院-CRM-项目,方案交流,,
广东省人民医院,广东省人民医院,医疗健康,广东,广州,粤省人民医院-智能体-项目,签约失败,,
深圳市平安银行股份有限公司,深圳市平安银行股份有限公司,金融,广东,深圳,平安银行-BI-项目,签约成功,1900000.00,2026-01-01 00:00:00
深圳市平安银行股份有限公司,深圳市平安银行股份有限公司,金融,广东,深圳,平安银行-数据工厂-项目,商务报价,,
深圳市平安银行股份有限公司,深圳市平安银行股份有限公司,金融,广东,深圳,平安银行-MASS-项目,线索获取,,
成都高新技术产业开发区管委会,成都高新技术产业开发区管委会,政府,四川,成都,成都高新-CRM-项目,签约成功,720000.00,2026-02-01 00:00:00
成都高新技术产业开发区管委会,成都高新技术产业开发区管委会,政府,四川,成都,成都高新-BI-项目,方案交流,,
成都高新技术产业开发区管委会,成都高新技术产业开发区管委会,政府,四川,成都,成都高新-数据工厂-项目,线索获取,,
四川省教育厅,四川省教育厅,政府,四川,成都,川省教育厅-BI-项目,签约成功,780000.00,2026-03-01 00:00:00
四川省教育厅,四川省教育厅,政府,四川,成都,川省教育厅-智能体-项目,商务报价,,
四川省教育厅,四川省教育厅,政府,四川,成都,川省教育厅-CRM-项目,签约失败,,
武汉市商业银行股份有限公司,武汉市商业银行股份有限公司,金融,湖北,武汉,武汉商行-BI-项目,签约成功,1250000.00,2026-02-01 00:00:00
武汉市商业银行股份有限公司,武汉市商业银行股份有限公司,金融,湖北,武汉,武汉商行-数据工厂-项目,方案交流,,
武汉市商业银行股份有限公司,武汉市商业银行股份有限公司,金融,湖北,武汉,武汉商行-MASS-项目,线索获取,,
湖北省卫生健康委员会,湖北省卫生健康委员会,政府,湖北,武汉,鄂省卫健-CRM-项目,签约成功,680000.00,2026-02-01 00:00:00
湖北省卫生健康委员会,湖北省卫生健康委员会,政府,湖北,武汉,鄂省卫健-BI-项目,商务报价,,
湖北省卫生健康委员会,湖北省卫生健康委员会,政府,湖北,武汉,鄂省卫健-智能体-项目,签约失败,,
南京银行股份有限公司,南京银行股份有限公司,金融,江苏,南京,南京银行-BI-项目,签约成功,1520000.00,2026-02-01 00:00:00
南京银行股份有限公司,南京银行股份有限公司,金融,江苏,南京,南京银行-CRM-项目,方案交流,,
南京银行股份有限公司,南京银行股份有限公司,金融,江苏,南京,南京银行-数据工厂-项目,线索获取,,
江苏省大数据管理中心,江苏省大数据管理中心,政府,江苏,南京,苏省数据-CRM-项目,签约成功,870000.00,2026-03-01 00:00:00
江苏省大数据管理中心,江苏省大数据管理中心,政府,江苏,南京,苏省数据-BI-项目,商务报价,,
江苏省大数据管理中心,江苏省大数据管理中心,政府,江苏,南京,苏省数据-智能体-项目,线索获取,,
浙江大学,浙江大学,教育,浙江,杭州,浙大-BI-项目,签约成功,680000.00,2026-03-01 00:00:00
浙江大学,浙江大学,教育,浙江,杭州,浙大-智能体-项目,方案交流,,
浙江大学,浙江大学,教育,浙江,杭州,浙大-CRM-项目,签约失败,,
阿里巴巴（中国）有限公司,阿里巴巴（中国）有限公司,制造,浙江,杭州,阿里巴巴-数据工厂-项目,签约成功,3800000.00,2026-02-01 00:00:00
阿里巴巴（中国）有限公司,阿里巴巴（中国）有限公司,制造,浙江,杭州,阿里巴巴-BI-项目,商务报价,,
阿里巴巴（中国）有限公司,阿里巴巴（中国）有限公司,制造,浙江,杭州,阿里巴巴-MASS-项目,线索获取,,
宁波银行股份有限公司,宁波银行股份有限公司,金融,浙江,宁波,宁波银行-BI-项目,签约成功,1350000.00,2026-03-01 00:00:00
宁波银行股份有限公司,宁波银行股份有限公司,金融,浙江,宁波,宁波银行-数据工厂-项目,方案交流,,
深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,制造,广东,深圳,腾讯-数据工厂-项目,签约成功,4800000.00,2026-02-01 00:00:00
深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,制造,广东,深圳,腾讯-BI-项目,商务报价,,
深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,制造,广东,深圳,腾讯-智能体-项目,方案交流,,
广州市越秀区教育局,广州市越秀区教育局,政府,广东,广州,越秀教育-CRM-项目,签约成功,480000.00,2026-03-01 00:00:00
广州市越秀区教育局,广州市越秀区教育局,政府,广东,广州,越秀教育-BI-项目,线索获取,,
广州市越秀区教育局,广州市越秀区教育局,政府,广东,广州,越秀教育-智能体-项目,签约失败,,
华为技术有限公司,华为技术有限公司,制造,广东,深圳,华为-数据工厂-项目,签约成功,7500000.00,2026-02-01 00:00:00
华为技术有限公司,华为技术有限公司,制造,广东,深圳,华为-BI-项目,商务报价,,
华为技术有限公司,华为技术有限公司,制造,广东,深圳,华为-MASS-项目,线索获取,,
中国建设银行股份有限公司天津分行,中国建设银行股份有限公司天津分行,金融,天津,天津,建行天津-BI-项目,签约成功,1700000.00,2026-02-01 00:00:00
中国建设银行股份有限公司天津分行,中国建设银行股份有限公司天津分行,金融,天津,天津,建行天津-CRM-项目,方案交流,,
中国建设银行股份有限公司天津分行,中国建设银行股份有限公司天津分行,金融,天津,天津,建行天津-数据工厂-项目,签约失败,,
天津市滨海新区人民政府,天津市滨海新区人民政府,政府,天津,天津,天津滨海-BI-项目,签约成功,950000.00,2026-03-01 00:00:00
天津市滨海新区人民政府,天津市滨海新区人民政府,政府,天津,天津,天津滨海-CRM-项目,商务报价,,
天津市滨海新区人民政府,天津市滨海新区人民政府,政府,天津,天津,天津滨海-智能体-项目,线索获取,,
中国农业银行山东省分行,中国农业银行山东省分行,金融,山东,济南,农行山东-BI-项目,签约成功,2100000.00,2026-02-01 00:00:00
中国农业银行山东省分行,中国农业银行山东省分行,金融,山东,济南,农行山东-数据工厂-项目,方案交流,,
山东省人民医院,山东省人民医院,医疗健康,山东,济南,山东省人民医院-CRM-项目,签约成功,670000.00,2026-03-01 00:00:00
山东省人民医院,山东省人民医院,医疗健康,山东,济南,山东省人民医院-BI-项目,线索获取,,
郑州银行股份有限公司,郑州银行股份有限公司,金融,河南,郑州,郑州银行-BI-项目,签约成功,1150000.00,2026-03-01 00:00:00
郑州银行股份有限公司,郑州银行股份有限公司,金融,河南,郑州,郑州银行-CRM-项目,商务报价,,
河南省卫生健康委员会,河南省卫生健康委员会,政府,河南,郑州,豫省卫健-CRM-项目,签约成功,620000.00,2026-03-01 00:00:00
河南省卫生健康委员会,河南省卫生健康委员会,政府,河南,郑州,豫省卫健-数据工厂-项目,签约失败,,
重庆农村商业银行股份有限公司,重庆农村商业银行股份有限公司,金融,重庆,重庆,重庆农商-BI-项目,签约成功,1520000.00,2026-03-01 00:00:00
重庆农村商业银行股份有限公司,重庆农村商业银行股份有限公司,金融,重庆,重庆,重庆农商-数据工厂-项目,方案交流,,
贵州省大数据发展管理局,贵州省大数据发展管理局,政府,贵州,贵阳,贵州大数据-CRM-项目,签约成功,760000.00,2026-03-01 00:00:00
贵州省大数据发展管理局,贵州省大数据发展管理局,政府,贵州,贵阳,贵州大数据-BI-项目,线索获取,,
云南省数字经济局,云南省数字经济局,政府,云南,昆明,云南数字-CRM-项目,签约成功,680000.00,2026-03-01 00:00:00
厦门国际银行股份有限公司,厦门国际银行股份有限公司,金融,福建,厦门,厦门国际银行-BI-项目,签约成功,1150000.00,2026-03-01 00:00:00
厦门国际银行股份有限公司,厦门国际银行股份有限公司,金融,福建,厦门,厦门国际银行-CRM-项目,方案交流,,
福建省医科大学附属第一医院,福建省医科大学附属第一医院,医疗健康,福建,福州,闽医科大-CRM-项目,签约成功,580000.00,2026-03-01 00:00:00
苏州工业园区管委会,苏州工业园区管委会,政府,江苏,苏州,苏州工业园-BI-项目,签约成功,1250000.00,2026-03-01 00:00:00
无锡市大数据管理局,无锡市大数据管理局,政府,江苏,无锡,无锡大数据-CRM-项目,签约成功,720000.00,2026-04-01 00:00:00
无锡市大数据管理局,无锡市大数据管理局,政府,江苏,无锡,无锡大数据-BI-项目,商务报价,,
江苏省人民医院,江苏省人民医院,医疗健康,江苏,南京,苏省人民医院-BI-项目,签约成功,1050000.00,2026-04-01 00:00:00
上海交通大学,上海交通大学,教育,上海,上海,上海交大-智能体-项目,签约成功,480000.00,2026-04-01 00:00:00
上海市大数据中心,上海市大数据中心,政府,上海,上海,上海大数据-CRM-项目,签约成功,1150000.00,2026-04-01 00:00:00
中国电信股份有限公司上海分公司,中国电信股份有限公司上海分公司,制造,上海,上海,中国电信上海-MASS-项目,签约成功,1900000.00,2026-04-01 00:00:00
北京银行股份有限公司,北京银行股份有限公司,金融,北京,北京,北京银行-BI-项目,签约成功,1420000.00,2026-04-01 00:00:00
北京市大数据中心,北京市大数据中心,政府,北京,北京,北京市大数据-CRM-项目,签约成功,870000.00,2026-04-01 00:00:00
首都医科大学附属北京协和医院,首都医科大学附属北京协和医院,医疗健康,北京,北京,北京协和-BI-项目,商务报价,,
中国电力建设股份有限公司,中国电力建设股份有限公司,制造,北京,北京,中国电建-数据工厂-项目,签约成功,2800000.00,2026-04-01 00:00:00
中国移动通信集团广东有限公司,中国移动通信集团广东有限公司,制造,广东,广州,中移动广东-MASS-项目,签约成功,2400000.00,2026-04-01 00:00:00
广州农商银行股份有限公司,广州农商银行股份有限公司,金融,广东,广州,广州农商-BI-项目,签约成功,1620000.00,2026-05-01 00:00:00
广州农商银行股份有限公司,广州农商银行股份有限公司,金融,广东,广州,广州农商-CRM-项目,方案交流,,
海南省大数据管理局,海南省大数据管理局,政府,海南,海口,海南大数据-CRM-项目,商务报价,,
西安银行股份有限公司,西安银行股份有限公司,金融,陕西,西安,西安银行-BI-项目,签约成功,1050000.00,2026-05-01 00:00:00
陕西省数字政府管理局,陕西省数字政府管理局,政府,陕西,西安,陕西数字-CRM-项目,方案交流,,
四川省人民医院,四川省人民医院,医疗健康,四川,成都,川省人民医院-BI-项目,线索获取,,
湖南省大数据局,湖南省大数据局,政府,湖南,长沙,湖南大数据-CRM-项目,签约成功,820000.00,2026-05-01 00:00:00
