opp_name,project_project_name,project_project_status
华为-CRM-项目,华为-CRM-实施项目,项目上线
阿里巴巴-CRM-项目,阿里巴巴-CRM-实施项目,项目上线
武汉商行-CRM-项目,武汉商行-CRM-实施项目,项目交付
浦发银行-数据工厂-项目,浦发银行-数据工厂-实施项目,项目上线
腾讯-CRM-项目,腾讯-CRM-实施项目,项目上线
南京银行-MASS-项目,南京银行-MASS-实施项目,项目上线
苏省数据-数据工厂-项目,苏省数据-数据工厂-实施项目,项目上线
重庆农商-CRM-项目,重庆农商-CRM-实施项目,项目上线
苏州工业园-CRM-项目,苏州工业园-CRM-实施项目,项目启动
徽商银行-CRM-项目,徽商银行-CRM-实施项目,收入确认
西安银行-CRM-项目,西安银行-CRM-实施项目,项目上线
上交所-CRM-项目,上交所-CRM-实施项目,项目启动
深交所-CRM-项目,深交所-CRM-实施项目,安装部署
青岛银行-BI-项目,青岛银行-BI-实施项目,项目上线
江西银行-CRM-项目,江西银行-CRM-实施项目,项目交付
桂林银行-BI-项目,桂林银行-BI-实施项目,项目上线
宁夏银行-CRM-项目,宁夏银行-CRM-实施项目,安装部署
内蒙古银行-BI-项目,内蒙古银行-BI-实施项目,项目上线
吉林银行-CRM-项目,吉林银行-CRM-实施项目,安装部署
山西银行-BI-项目,山西银行-BI-实施项目,项目上线
上交所-数据工厂-项目,上交所-数据工厂-实施项目,项目交付
北京大数据-BI-项目,北京大数据-BI-实施项目,收入确认
海南大数据-CRM-项目,海南大数据-CRM-实施项目,项目交付
陕西数字政府-CRM-项目,陕西数字政府-CRM-实施项目,项目上线
湖南大数据-BI-项目,湖南大数据-BI-实施项目,项目交付
济南大数据-CRM-项目,济南大数据-CRM-实施项目,安装部署
合肥大数据-BI-项目,合肥大数据-BI-实施项目,项目上线
南昌政务-CRM-项目,南昌政务-CRM-实施项目,项目交付
南宁大数据-BI-项目,南宁大数据-BI-实施项目,安装部署
甘肃数据-CRM-项目,甘肃数据-CRM-实施项目,项目启动
内蒙古大数据-BI-项目,内蒙古大数据-BI-实施项目,项目交付
黑龙江政务-CRM-项目,黑龙江政务-CRM-实施项目,安装部署
长春数据-BI-项目,长春数据-BI-实施项目,项目启动
山西大数据-CRM-项目,山西大数据-CRM-实施项目,项目交付
广州数据-数据工厂-项目,广州数据-数据工厂-实施项目,项目上线
深圳数字政府-BI-项目,深圳数字政府-BI-实施项目,项目交付
福建数字办-CRM-项目,福建数字办-CRM-实施项目,收入确认
昆明大数据-BI-项目,昆明大数据-BI-实施项目,安装部署
成都大数据-CRM-项目,成都大数据-CRM-实施项目,项目启动
渝市大数据-BI-项目,渝市大数据-BI-实施项目,项目启动
北京协和-BI-项目,北京协和-BI-实施项目,收入确认
川省人民医院-BI-项目,川省人民医院-BI-实施项目,项目上线
安徽省立-CRM-项目,安徽省立-CRM-实施项目,项目交付
辽省人民医院-CRM-项目,辽省人民医院-CRM-实施项目,项目启动
