opp_name,opp_code,customer_customer_name,contract_amount,opp_status,plan_sign_date,actual_sign_date
苏省数据-数据工厂-项目,苏省数据-数据工厂-项目,江苏省大数据管理中心,1430000.00,签约成功,2026-02-01 00:00:00,2026-03-01 00:00:00
上交所-CRM-项目,上交所-CRM-项目,上海证券交易所,1420000.00,签约成功,2026-05-01 00:00:00,2026-05-01 00:00:00
北京银行-BI-项目,北京银行-BI-项目,北京银行股份有限公司,1420000.00,签约成功,2026-03-01 00:00:00,2026-04-01 00:00:00
浦发银行-BI-项目,浦发银行-BI-项目,上海浦东发展银行股份有限公司,1400000.00,签约成功,2026-01-01 00:00:00,2026-01-01 00:00:00
浙省人民医院-BI-项目,浙省人民医院-BI-项目,浙江省人民医院,1350000.00,签约成功,2026-02-01 00:00:00,2026-02-01 00:00:00
宁波银行-BI-项目,宁波银行-BI-项目,宁波银行股份有限公司,1350000.00,签约成功,2026-02-01 00:00:00,2026-03-01 00:00:00
苏省大数据-BI-项目,苏省大数据-BI-项目,江苏省大数据管理中心,1350000.00,签约成功,2026-03-01 00:00:00,2026-03-01 00:00:00
青岛银行-BI-项目,青岛银行-BI-项目,青岛银行股份有限公司,1280000.00,签约成功,2026-02-01 00:00:00,2026-02-01 00:00:00
苏州工业园-BI-项目,苏州工业园-BI-项目,苏州工业园区管委会,1250000.00,签约成功,2026-02-01 00:00:00,2026-03-01 00:00:00
川省人民医院-BI-项目,川省人民医院-BI-项目,四川省人民医院,1250000.00,签约成功,2026-02-01 00:00:00,2026-02-01 00:00:00
长沙银行-BI-项目,长沙银行-BI-项目,长沙银行股份有限公司,1250000.00,签约成功,2026-04-01 00:00:00,2026-05-01 00:00:00
武汉商行-BI-项目,武汉商行-BI-项目,武汉市商业银行股份有限公司,1250000.00,签约成功,2026-01-01 00:00:00,2026-02-01 00:00:00
华为-DQC-项目,华为-DQC-项目,华为技术有限公司,1200000.00,签约成功,2026-03-01 00:00:00,2026-03-01 00:00:00
北京海淀-BI-项目,北京海淀-BI-项目,北京市海淀区人民政府,1200000.00,签约成功,2026-03-01 00:00:00,2026-03-01 00:00:00
贵州大数据-数据工厂-项目,贵州大数据-数据工厂-项目,贵州省大数据发展管理局,1150000.00,签约成功,2026-03-01 00:00:00,2026-04-01 00:00:00
浦发银行-数据工厂-项目,浦发银行-数据工厂-项目,上海浦东发展银行股份有限公司,1150000.00,签约成功,2026-01-01 00:00:00,2026-02-01 00:00:00
盛京银行-BI-项目,盛京银行-BI-项目,盛京银行股份有限公司,1150000.00,签约成功,2026-05-01 00:00:00,2026-05-01 00:00:00
徽商银行-BI-项目,徽商银行-BI-项目,徽商银行股份有限公司,1150000.00,签约成功,2026-04-01 00:00:00,2026-05-01 00:00:00
上海大数据-CRM-项目,上海大数据-CRM-项目,上海市大数据中心,1150000.00,签约成功,2026-03-01 00:00:00,2026-04-01 00:00:00
厦门国际银行-BI-项目,厦门国际银行-BI-项目,厦门国际银行股份有限公司,1150000.00,签约成功,2026-02-01 00:00:00,2026-03-01 00:00:00
郑州银行-BI-项目,郑州银行-BI-项目,郑州银行股份有限公司,1150000.00,签约成功,2026-02-01 00:00:00,2026-03-01 00:00:00
山东人民医院-BI-项目,山东人民医院-BI-项目,山东省人民医院,1150000.00,签约成功,2026-03-01 00:00:00,2026-03-01 00:00:00
深交所-CRM-项目,深交所-CRM-项目,深圳证券交易所,1150000.00,签约成功,2026-05-01 00:00:00,2026-05-01 00:00:00
国投中债-BI-项目,国投中债-BI-项目,北京国投中债资产管理有限公司,1100000.00,签约成功,2025-12-01 00:00:00,2025-12-01 00:00:00
深圳数字政府-BI-项目,深圳数字政府-BI-项目,深圳市数字政府研究院,1100000.00,签约成功,2026-02-01 00:00:00,2026-02-01 00:00:00
上交大-CRM-项目,上交大-CRM-项目,上海交通大学,1100000.00,签约成功,2025-11-01 00:00:00,2025-11-01 00:00:00
电力建设-BI-项目,电力建设-BI-项目,中国电力建设股份有限公司,1100000.00,签约成功,2026-02-01 00:00:00,2026-02-01 00:00:00
苏省人民医院-BI-项目,苏省人民医院-BI-项目,江苏省人民医院,1050000.00,签约成功,2026-03-01 00:00:00,2026-04-01 00:00:00
西安银行-BI-项目,西安银行-BI-项目,西安银行股份有限公司,1050000.00,签约成功,2026-04-01 00:00:00,2026-05-01 00:00:00
福州银行-BI-项目,福州银行-BI-项目,福州银行股份有限公司,1050000.00,签约成功,2026-05-01 00:00:00,2026-05-01 00:00:00
哈尔滨银行-BI-项目,哈尔滨银行-BI-项目,哈尔滨银行股份有限公司,1050000.00,签约成功,2026-05-01 00:00:00,2026-05-01 00:00:00
粤省人民医院-BI-项目,粤省人民医院-BI-项目,广东省人民医院,1050000.00,签约成功,2026-01-01 00:00:00,2026-02-01 00:00:00
