customer_name,industry,opp_id,opp_opp_name,opp_opp_status
湖北省卫生健康委员会,政府,36,鄂省卫健-智能体-项目,签约失败
南京银行股份有限公司,金融,37,南京银行-BI-项目,签约成功
南京银行股份有限公司,金融,38,南京银行-CRM-项目,方案交流
南京银行股份有限公司,金融,39,南京银行-数据工厂-项目,线索获取
江苏省大数据管理中心,政府,40,苏省数据-CRM-项目,签约成功
江苏省大数据管理中心,政府,41,苏省数据-BI-项目,商务报价
江苏省大数据管理中心,政府,42,苏省数据-智能体-项目,线索获取
浙江大学,教育,43,浙大-BI-项目,签约成功
浙江大学,教育,44,浙大-智能体-项目,方案交流
浙江大学,教育,45,浙大-CRM-项目,签约失败
阿里巴巴（中国）有限公司,制造,46,阿里巴巴-数据工厂-项目,签约成功
阿里巴巴（中国）有限公司,制造,47,阿里巴巴-BI-项目,商务报价
阿里巴巴（中国）有限公司,制造,48,阿里巴巴-MASS-项目,线索获取
宁波银行股份有限公司,金融,49,宁波银行-BI-项目,签约成功
宁波银行股份有限公司,金融,50,宁波银行-数据工厂-项目,方案交流
深圳市腾讯计算机系统有限公司,制造,51,腾讯-数据工厂-项目,签约成功
深圳市腾讯计算机系统有限公司,制造,52,腾讯-BI-项目,商务报价
深圳市腾讯计算机系统有限公司,制造,53,腾讯-智能体-项目,方案交流
广州市越秀区教育局,政府,54,越秀教育-CRM-项目,签约成功
广州市越秀区教育局,政府,55,越秀教育-BI-项目,线索获取
广州市越秀区教育局,政府,56,越秀教育-智能体-项目,签约失败
华为技术有限公司,制造,57,华为-数据工厂-项目,签约成功
华为技术有限公司,制造,58,华为-BI-项目,商务报价
华为技术有限公司,制造,59,华为-MASS-项目,线索获取
中国建设银行股份有限公司天津分行,金融,60,建行天津-BI-项目,签约成功
中国建设银行股份有限公司天津分行,金融,61,建行天津-CRM-项目,方案交流
中国建设银行股份有限公司天津分行,金融,62,建行天津-数据工厂-项目,签约失败
天津市滨海新区人民政府,政府,63,天津滨海-BI-项目,签约成功
天津市滨海新区人民政府,政府,64,天津滨海-CRM-项目,商务报价
天津市滨海新区人民政府,政府,65,天津滨海-智能体-项目,线索获取
中国农业银行山东省分行,金融,66,农行山东-BI-项目,签约成功
中国农业银行山东省分行,金融,67,农行山东-数据工厂-项目,方案交流
山东省人民医院,医疗健康,68,山东省人民医院-CRM-项目,签约成功
山东省人民医院,医疗健康,69,山东省人民医院-BI-项目,线索获取
郑州银行股份有限公司,金融,70,郑州银行-BI-项目,签约成功
郑州银行股份有限公司,金融,71,郑州银行-CRM-项目,商务报价
河南省卫生健康委员会,政府,72,豫省卫健-CRM-项目,签约成功
河南省卫生健康委员会,政府,73,豫省卫健-数据工厂-项目,签约失败
重庆农村商业银行股份有限公司,金融,74,重庆农商-BI-项目,签约成功
重庆农村商业银行股份有限公司,金融,75,重庆农商-数据工厂-项目,方案交流
贵州省大数据发展管理局,政府,76,贵州大数据-CRM-项目,签约成功
贵州省大数据发展管理局,政府,77,贵州大数据-BI-项目,线索获取
云南省数字经济局,政府,78,云南数字-CRM-项目,签约成功
厦门国际银行股份有限公司,金融,79,厦门国际银行-BI-项目,签约成功
厦门国际银行股份有限公司,金融,80,厦门国际银行-CRM-项目,方案交流
福建省医科大学附属第一医院,医疗健康,81,闽医科大-CRM-项目,签约成功
苏州工业园区管委会,政府,82,苏州工业园-BI-项目,签约成功
无锡市大数据管理局,政府,83,无锡大数据-CRM-项目,签约成功
无锡市大数据管理局,政府,84,无锡大数据-BI-项目,商务报价
江苏省人民医院,医疗健康,85,苏省人民医院-BI-项目,签约成功
上海交通大学,教育,86,上海交大-智能体-项目,签约成功
上海市大数据中心,政府,87,上海大数据-CRM-项目,签约成功
中国电信股份有限公司上海分公司,制造,88,中国电信上海-MASS-项目,签约成功
北京银行股份有限公司,金融,89,北京银行-BI-项目,签约成功
北京市大数据中心,政府,90,北京市大数据-CRM-项目,签约成功
首都医科大学附属北京协和医院,医疗健康,91,北京协和-BI-项目,商务报价
中国电力建设股份有限公司,制造,92,中国电建-数据工厂-项目,签约成功
中国移动通信集团广东有限公司,制造,93,中移动广东-MASS-项目,签约成功
广州农商银行股份有限公司,金融,94,广州农商-BI-项目,签约成功
广州农商银行股份有限公司,金融,95,广州农商-CRM-项目,方案交流
海南省大数据管理局,政府,96,海南大数据-CRM-项目,商务报价
西安银行股份有限公司,金融,97,西安银行-BI-项目,签约成功
陕西省数字政府管理局,政府,98,陕西数字-CRM-项目,方案交流
四川省人民医院,医疗健康,99,川省人民医院-BI-项目,线索获取
湖南省大数据局,政府,100,湖南大数据-CRM-项目,签约成功
