project_code,project_name,总签约金额,总欠费金额,项目数
建行天津-BI-实施项目,建行天津-BI-实施项目,1700000.00,640000.00,1
福州银行-CRM-实施项目,福州银行-CRM-实施项目,420000.00,,1
山东人民医院-BI-实施项目,山东人民医院-BI-实施项目,1150000.00,,1
招行上海-MASS-实施项目,招行上海-MASS-实施项目,580000.00,160000.00,1
苏州工业园-CRM-实施项目,苏州工业园-CRM-实施项目,640000.00,,1
福州银行-BI-实施项目,福州银行-BI-实施项目,1320000.00,100320.00,1
上交大-CRM-实施项目,上交大-CRM-实施项目,1100000.00,83600.00,1
重庆农商-BI-实施项目,重庆农商-BI-实施项目,1520000.00,470000.00,1
国投中债-BI-实施项目,国投中债-BI-实施项目,1100000.00,0.00,1
山西大数据-CRM-实施项目,山西大数据-CRM-实施项目,650000.00,,1
阿里巴巴-CRM-实施项目,阿里巴巴-CRM-实施项目,1900000.00,,1
华中科大-BI-实施项目,华中科大-BI-实施项目,780000.00,,1
国家电网-数据工厂-实施项目,国家电网-数据工厂-实施项目,6800000.00,,1
黑龙江政务-CRM-实施项目,黑龙江政务-CRM-实施项目,480000.00,,1
腾讯-MASS-实施项目,腾讯-MASS-实施项目,2600000.00,,1
内蒙古银行-BI-实施项目,内蒙古银行-BI-实施项目,780000.00,,1
苏省数据-数据工厂-实施项目,苏省数据-数据工厂-实施项目,1430000.00,,1
厦门国际银行-BI-实施项目,厦门国际银行-BI-实施项目,1150000.00,300000.00,1
北京银行-BI-实施项目,北京银行-BI-实施项目,1600000.00,618240.00,1
鄂省人民医院-BI-实施项目,鄂省人民医院-BI-实施项目,1680000.00,649152.00,1
云南数字经济-BI-实施项目,云南数字经济-BI-实施项目,580000.00,,1
兰州银行-BI-实施项目,兰州银行-BI-实施项目,860000.00,,1
吉林银行-CRM-实施项目,吉林银行-CRM-实施项目,480000.00,,1
深交所-BI-实施项目,深交所-BI-实施项目,2100000.00,,1
北京协和-BI-实施项目,北京协和-BI-实施项目,1450000.00,560280.00,1
浙省人民医院-BI-实施项目,浙省人民医院-BI-实施项目,1350000.00,,1
甘肃数据-CRM-实施项目,甘肃数据-CRM-实施项目,450000.00,,1
江西银行-CRM-实施项目,江西银行-CRM-实施项目,680000.00,,1
渝市大数据-CRM-实施项目,渝市大数据-CRM-实施项目,460000.00,,1
无锡大数据-BI-实施项目,无锡大数据-BI-实施项目,650000.00,,1
厦门大学-BI-实施项目,厦门大学-BI-实施项目,820000.00,,1
南昌政务-CRM-实施项目,南昌政务-CRM-实施项目,520000.00,,1
中国电信沪分-MASS-实施项目,中国电信沪分-MASS-实施项目,3200000.00,1236480.00,1
宁夏银行-CRM-实施项目,宁夏银行-CRM-实施项目,520000.00,,1
济南大数据-CRM-实施项目,济南大数据-CRM-实施项目,640000.00,,1
天河卫健-CRM-实施项目,天河卫健-CRM-实施项目,580000.00,0.00,1
北京银行-MASS-实施项目,北京银行-MASS-实施项目,800000.00,,1
哈尔滨银行-BI-实施项目,哈尔滨银行-BI-实施项目,1050000.00,,1
合肥大数据-BI-实施项目,合肥大数据-BI-实施项目,880000.00,,1
