project_name,project_code,project_task_id,project_task_task_status
农行山东-BI-实施项目,农行山东-BI-实施项目,38,处理中
郑州银行-BI-实施项目,郑州银行-BI-实施项目,,
重庆农商-BI-实施项目,重庆农商-BI-实施项目,39,处理中
贵州大数据-CRM-实施项目,贵州大数据-CRM-实施项目,,
云南数字-CRM-实施项目,云南数字-CRM-实施项目,,
厦门国际银行-BI-实施项目,厦门国际银行-BI-实施项目,40,处理中
苏州工业园-BI-实施项目,苏州工业园-BI-实施项目,,
无锡大数据-CRM-实施项目,无锡大数据-CRM-实施项目,,
北京银行-BI-实施项目,北京银行-BI-实施项目,42,处理中
北京银行-BI-实施项目,北京银行-BI-实施项目,41,处理中
广州农商银行-BI-实施项目,广州农商银行-BI-实施项目,44,正常结束
广州农商银行-BI-实施项目,广州农商银行-BI-实施项目,43,正常结束
长沙银行-BI-实施项目,长沙银行-BI-实施项目,46,处理中
长沙银行-BI-实施项目,长沙银行-BI-实施项目,45,处理中
青岛银行-BI-实施项目,青岛银行-BI-实施项目,,
徽商银行-BI-实施项目,徽商银行-BI-实施项目,47,处理中
江西银行-CRM-实施项目,江西银行-CRM-实施项目,,
桂林银行-BI-实施项目,桂林银行-BI-实施项目,,
兰州银行-BI-实施项目,兰州银行-BI-实施项目,,
宁夏银行-CRM-实施项目,宁夏银行-CRM-实施项目,,
内蒙古银行-BI-实施项目,内蒙古银行-BI-实施项目,,
哈尔滨银行-BI-实施项目,哈尔滨银行-BI-实施项目,,
吉林银行-CRM-实施项目,吉林银行-CRM-实施项目,,
盛京银行-BI-实施项目,盛京银行-BI-实施项目,,
山西银行-BI-实施项目,山西银行-BI-实施项目,,
福州银行-BI-实施项目,福州银行-BI-实施项目,49,正常结束
福州银行-BI-实施项目,福州银行-BI-实施项目,48,正常结束
贵阳银行-BI-实施项目,贵阳银行-BI-实施项目,,
太平洋保险-数据工厂-实施项目,太平洋保险-数据工厂-实施项目,,
国泰君安-BI-实施项目,国泰君安-BI-实施项目,,
深交所-BI-实施项目,深交所-BI-实施项目,,
上交所-数据工厂-实施项目,上交所-数据工厂-实施项目,,
沪大数据-CRM-实施项目,沪大数据-CRM-实施项目,51,正常结束
沪大数据-CRM-实施项目,沪大数据-CRM-实施项目,50,正常结束
北京大数据-BI-实施项目,北京大数据-BI-实施项目,52,处理中
海南大数据-CRM-实施项目,海南大数据-CRM-实施项目,,
陕西数字政府-CRM-实施项目,陕西数字政府-CRM-实施项目,,
湖南大数据-BI-实施项目,湖南大数据-BI-实施项目,,
济南大数据-CRM-实施项目,济南大数据-CRM-实施项目,,
合肥大数据-BI-实施项目,合肥大数据-BI-实施项目,,
南昌政务-CRM-实施项目,南昌政务-CRM-实施项目,,
南宁大数据-BI-实施项目,南宁大数据-BI-实施项目,,
甘肃数据-CRM-实施项目,甘肃数据-CRM-实施项目,,
内蒙古大数据-BI-实施项目,内蒙古大数据-BI-实施项目,,
黑龙江政务-CRM-实施项目,黑龙江政务-CRM-实施项目,,
长春数据-BI-实施项目,长春数据-BI-实施项目,,
山西大数据-CRM-实施项目,山西大数据-CRM-实施项目,,
广州数据-数据工厂-实施项目,广州数据-数据工厂-实施项目,,
深圳数字政府-BI-实施项目,深圳数字政府-BI-实施项目,,
福建数字办-CRM-实施项目,福建数字办-CRM-实施项目,,
昆明大数据-BI-实施项目,昆明大数据-BI-实施项目,,
成都大数据-CRM-实施项目,成都大数据-CRM-实施项目,,
