opp_name,opp_code,customer_customer_name,industry,domain,contract_amount,opp_status,forecast_amount,forecast_rate,plan_sign_date,actual_sign_date,sales_user_user_name,org_org_name
农行山东-BI-项目,农行山东-BI-项目,中国农业银行山东省分行,金融,金融,2100000.0,签约成功,2200000.0,100.0,2026-01-01 00:00:00,2026-02-01 00:00:00,张无忌,华中-金融组
阿里巴巴-MASS-项目,阿里巴巴-MASS-项目,阿里巴巴（中国）有限公司,制造,制造,2100000.0,签约成功,2420000.0,100.0,2026-01-01 00:00:00,2026-01-01 00:00:00,,华东-政府组
平安银行-BI-项目,平安银行-BI-项目,深圳市平安银行股份有限公司,金融,金融,1900000.0,签约成功,2000000.0,100.0,2026-01-01 00:00:00,2026-01-01 00:00:00,,华南-金融组
中国电信上海-MASS-项目,中国电信上海-MASS-项目,中国电信股份有限公司上海分公司,制造,电信,1900000.0,签约成功,2000000.0,100.0,2026-03-01 00:00:00,2026-04-01 00:00:00,,华东-政府组
国泰君安-BI-项目,国泰君安-BI-项目,国泰君安证券股份有限公司,金融,金融,1900000.0,签约成功,2000000.0,100.0,2026-05-01 00:00:00,2026-05-01 00:00:00,,华东-金融组
阿里巴巴-CRM-项目,阿里巴巴-CRM-项目,阿里巴巴（中国）有限公司,制造,制造,1900000.0,签约成功,2000000.0,100.0,2026-01-01 00:00:00,2026-02-01 00:00:00,,华东-政府组
太平洋保险-BI-项目,太平洋保险-BI-项目,中国太平洋保险（集团）股份有限公司,金融,金融,1900000.0,签约成功,2000000.0,100.0,2026-05-01 00:00:00,2026-05-01 00:00:00,,华东-金融组
北交所-BI-续签项目,北交所-BI-续签项目,北京证券交易所,金融,金融,1850000.0,签约成功,2130000.0,100.0,2026-03-01 00:00:00,2026-03-01 00:00:00,,华北-金融组
华为-MASS-项目,华为-MASS-项目,华为技术有限公司,制造,制造,1800000.0,签约成功,2070000.0,100.0,2026-03-01 00:00:00,2026-03-01 00:00:00,,华南-金融组
腾讯-CRM-项目,腾讯-CRM-项目,深圳市腾讯计算机系统有限公司,制造,制造,1720000.0,签约成功,1800000.0,100.0,2026-02-01 00:00:00,2026-03-01 00:00:00,,华南-金融组
建行天津-BI-项目,建行天津-BI-项目,中国建设银行股份有限公司天津分行,金融,金融,1700000.0,签约成功,1800000.0,100.0,2026-01-01 00:00:00,2026-02-01 00:00:00,,华北-金融组
鄂省人民医院-BI-项目,鄂省人民医院-BI-项目,湖北省人民医院,医疗健康,医疗健康,1680000.0,签约成功,1930000.0,100.0,2026-01-01 00:00:00,2026-01-01 00:00:00,张无忌,华中-政府组
广州农商-BI-项目,广州农商-BI-项目,广州农商银行股份有限公司,金融,金融,1620000.0,签约成功,1700000.0,100.0,2026-04-01 00:00:00,2026-05-01 00:00:00,,华南-金融组
平安银行-MASS-项目,平安银行-MASS-项目,深圳市平安银行股份有限公司,金融,金融,1600000.0,签约成功,1840000.0,100.0,2026-02-01 00:00:00,2026-02-01 00:00:00,,华南-金融组
南京银行-BI-项目,南京银行-BI-项目,南京银行股份有限公司,金融,金融,1520000.0,签约成功,1600000.0,100.0,2026-01-01 00:00:00,2026-02-01 00:00:00,,华东-金融组
重庆农商-BI-项目,重庆农商-BI-项目,重庆农村商业银行股份有限公司,金融,金融,1520000.0,签约成功,1600000.0,100.0,2026-02-01 00:00:00,2026-03-01 00:00:00,杨过,华西-政府组
北京大数据-BI-项目,北京大数据-BI-项目,北京市大数据中心,政府,政府,1500000.0,签约成功,1720000.0,100.0,2026-01-01 00:00:00,2026-01-01 00:00:00,,华北-金融组
北京协和-BI-项目,北京协和-BI-项目,首都医科大学附属北京协和医院,医疗健康,医疗健康,1450000.0,签约成功,1670000.0,100.0,2026-01-01 00:00:00,2026-01-01 00:00:00,,华北-金融组
华为-CRM-项目,华为-CRM-项目,华为技术有限公司,制造,制造,1440000.0,签约成功,1500000.0,100.0,2026-01-01 00:00:00,2026-02-01 00:00:00,,华南-金融组
苏省数据-数据工厂-项目,苏省数据-数据工厂-项目,江苏省大数据管理中心,政府,政府,1430000.0,签约成功,1500000.0,100.0,2026-02-01 00:00:00,2026-03-01 00:00:00,,华东-政府组
北京银行-BI-项目,北京银行-BI-项目,北京银行股份有限公司,金融,金融,1420000.0,签约成功,1500000.0,100.0,2026-03-01 00:00:00,2026-04-01 00:00:00,,华北-金融组
上交所-CRM-项目,上交所-CRM-项目,上海证券交易所,金融,金融,1420000.0,签约成功,1500000.0,100.0,2026-05-01 00:00:00,2026-05-01 00:00:00,,华东-金融组
浦发银行-BI-项目,浦发银行-BI-项目,上海浦东发展银行股份有限公司,金融,金融,1400000.0,签约成功,1500000.0,100.0,2026-01-01 00:00:00,2026-01-01 00:00:00,,华东-金融组
宁波银行-BI-项目,宁波银行-BI-项目,宁波银行股份有限公司,金融,金融,1350000.0,签约成功,1400000.0,100.0,2026-02-01 00:00:00,2026-03-01 00:00:00,,华东-金融组
浙省人民医院-BI-项目,浙省人民医院-BI-项目,浙江省人民医院,医疗健康,医疗健康,1350000.0,签约成功,1550000.0,100.0,2026-02-01 00:00:00,2026-02-01 00:00:00,,华东-制造组
苏省大数据-BI-项目,苏省大数据-BI-项目,江苏省大数据管理中心,政府,政府,1350000.0,签约成功,1550000.0,100.0,2026-03-01 00:00:00,2026-03-01 00:00:00,,华东-政府组
青岛银行-BI-项目,青岛银行-BI-项目,青岛银行股份有限公司,金融,金融,1280000.0,签约成功,1470000.0,100.0,2026-02-01 00:00:00,2026-02-01 00:00:00,张无忌,华中-金融组
武汉商行-BI-项目,武汉商行-BI-项目,武汉市商业银行股份有限公司,金融,金融,1250000.0,签约成功,1300000.0,100.0,2026-01-01 00:00:00,2026-02-01 00:00:00,张无忌,华中-金融组
苏州工业园-BI-项目,苏州工业园-BI-项目,苏州工业园区管委会,政府,政府,1250000.0,签约成功,1300000.0,100.0,2026-02-01 00:00:00,2026-03-01 00:00:00,,华东-政府组
长沙银行-BI-项目,长沙银行-BI-项目,长沙银行股份有限公司,金融,金融,1250000.0,签约成功,1300000.0,100.0,2026-04-01 00:00:00,2026-05-01 00:00:00,张无忌,华中-金融组
川省人民医院-BI-项目,川省人民医院-BI-项目,四川省人民医院,医疗健康,医疗健康,1250000.0,签约成功,1440000.0,100.0,2026-02-01 00:00:00,2026-02-01 00:00:00,杨过,华西-政府组
华为-DQC-项目,华为-DQC-项目,华为技术有限公司,制造,制造,1200000.0,签约成功,1380000.0,100.0,2026-03-01 00:00:00,2026-03-01 00:00:00,,华南-金融组
北京海淀-BI-项目,北京海淀-BI-项目,北京市海淀区人民政府,政府,政府,1200000.0,签约成功,1380000.0,100.0,2026-03-01 00:00:00,2026-03-01 00:00:00,,华东-政府组
郑州银行-BI-项目,郑州银行-BI-项目,郑州银行股份有限公司,金融,金融,1150000.0,签约成功,1200000.0,100.0,2026-02-01 00:00:00,2026-03-01 00:00:00,张无忌,华中-金融组
厦门国际银行-BI-项目,厦门国际银行-BI-项目,厦门国际银行股份有限公司,金融,金融,1150000.0,签约成功,1200000.0,100.0,2026-02-01 00:00:00,2026-03-01 00:00:00,,华东-金融组
上海大数据-CRM-项目,上海大数据-CRM-项目,上海市大数据中心,政府,政府,1150000.0,签约成功,1200000.0,100.0,2026-03-01 00:00:00,2026-04-01 00:00:00,,华东-政府组
徽商银行-BI-项目,徽商银行-BI-项目,徽商银行股份有限公司,金融,金融,1150000.0,签约成功,1200000.0,100.0,2026-04-01 00:00:00,2026-05-01 00:00:00,,华东-金融组
盛京银行-BI-项目,盛京银行-BI-项目,盛京银行股份有限公司,金融,金融,1150000.0,签约成功,1200000.0,100.0,2026-05-01 00:00:00,2026-05-01 00:00:00,,华北-金融组
浦发银行-数据工厂-项目,浦发银行-数据工厂-项目,上海浦东发展银行股份有限公司,金融,金融,1150000.0,签约成功,1200000.0,100.0,2026-01-01 00:00:00,2026-02-01 00:00:00,,华东-金融组
贵州大数据-数据工厂-项目,贵州大数据-数据工厂-项目,贵州省大数据发展管理局,政府,政府,1150000.0,签约成功,1200000.0,100.0,2026-03-01 00:00:00,2026-04-01 00:00:00,杨过,华西-政府组
深交所-CRM-项目,深交所-CRM-项目,深圳证券交易所,金融,金融,1150000.0,签约成功,1200000.0,100.0,2026-05-01 00:00:00,2026-05-01 00:00:00,,华南-金融组
山东人民医院-BI-项目,山东人民医院-BI-项目,山东省人民医院,医疗健康,医疗健康,1150000.0,签约成功,1320000.0,100.0,2026-03-01 00:00:00,2026-03-01 00:00:00,张无忌,华中-金融组
国投中债-BI-项目,国投中债-BI-项目,北京国投中债资产管理有限公司,金融,金融,1100000.0,签约成功,1200000.0,100.0,2025-12-01 00:00:00,2025-12-01 00:00:00,,华北-金融组
深圳数字政府-BI-项目,深圳数字政府-BI-项目,深圳市数字政府研究院,政府,政府,1100000.0,签约成功,1260000.0,100.0,2026-02-01 00:00:00,2026-02-01 00:00:00,,华南-政府组
上交大-CRM-项目,上交大-CRM-项目,上海交通大学,教育,教育,1100000.0,签约成功,1260000.0,100.0,2025-11-01 00:00:00,2025-11-01 00:00:00,,华东-金融组
电力建设-BI-项目,电力建设-BI-项目,中国电力建设股份有限公司,制造,制造,1100000.0,签约成功,1260000.0,100.0,2026-02-01 00:00:00,2026-02-01 00:00:00,,华北-金融组
粤省人民医院-BI-项目,粤省人民医院-BI-项目,广东省人民医院,医疗健康,医疗健康,1050000.0,签约成功,1100000.0,100.0,2026-01-01 00:00:00,2026-02-01 00:00:00,,华南-金融组
苏省人民医院-BI-项目,苏省人民医院-BI-项目,江苏省人民医院,医疗健康,医疗健康,1050000.0,签约成功,1100000.0,100.0,2026-03-01 00:00:00,2026-04-01 00:00:00,,华东-金融组
西安银行-BI-项目,西安银行-BI-项目,西安银行股份有限公司,金融,金融,1050000.0,签约成功,1100000.0,100.0,2026-04-01 00:00:00,2026-05-01 00:00:00,杨过,华西-政府组
哈尔滨银行-BI-项目,哈尔滨银行-BI-项目,哈尔滨银行股份有限公司,金融,金融,1050000.0,签约成功,1100000.0,100.0,2026-05-01 00:00:00,2026-05-01 00:00:00,,华北-金融组
福州银行-BI-项目,福州银行-BI-项目,福州银行股份有限公司,金融,金融,1050000.0,签约成功,1100000.0,100.0,2026-05-01 00:00:00,2026-05-01 00:00:00,,华东-金融组
