customer_name,customer_code,商机数,项目数,商机任务数,项目任务数,研发任务数
无锡市大数据管理局,无锡市大数据管理局,6,6,2,0,0
武汉大学,武汉大学,2,2,0,0,0
辽宁省人民医院,辽宁省人民医院,2,2,0,0,0
四川省人民医院,四川省人民医院,8,8,4,4,4
福建省医科大学附属第一医院,福建省医科大学附属第一医院,2,2,0,0,0
南昌市政务数据局,南昌市政务数据局,4,4,3,0,0
北京市海淀区人民政府,北京市海淀区人民政府,54,54,36,48,48
上海市大数据中心,上海市大数据中心,4,4,0,4,4
中国移动通信集团广东有限公司,中国移动通信集团广东有限公司,4,4,0,4,4
福州银行股份有限公司,福州银行股份有限公司,18,18,0,16,16
云南省数字经济局,云南省数字经济局,4,4,0,0,0
南京银行股份有限公司,南京银行股份有限公司,30,30,0,25,25
广西壮族自治区人民医院,广西壮族自治区人民医院,1,1,1,0,0
长春市数据局,长春市数据局,2,2,0,0,0
盛京银行股份有限公司,盛京银行股份有限公司,4,4,2,0,0
福建省数字福建建设管理办公室,福建省数字福建建设管理办公室,2,2,0,0,0
厦门大学,厦门大学,2,2,0,0,0
苏州工业园区管委会,苏州工业园区管委会,4,4,0,0,0
甘肃省数据局,甘肃省数据局,3,3,2,0,0
中国太平洋保险（集团）股份有限公司,中国太平洋保险（集团）股份有限公司,6,6,2,0,0
徽商银行股份有限公司,徽商银行股份有限公司,4,4,2,2,0
湖北省人民医院,湖北省人民医院,2,2,1,2,2
深圳市腾讯计算机系统有限公司,深圳市腾讯计算机系统有限公司,15,15,6,5,5
黑龙江省政务服务和大数据局,黑龙江省政务服务和大数据局,2,2,0,0,0
海南省大数据管理局,海南省大数据管理局,2,2,1,0,0
青岛银行股份有限公司,青岛银行股份有限公司,2,2,0,0,0
贵阳银行股份有限公司,贵阳银行股份有限公司,4,4,0,0,0
浙江大学,浙江大学,18,18,0,18,18
宁夏银行股份有限公司,宁夏银行股份有限公司,2,2,0,0,0
成都高新技术产业开发区管委会,成都高新技术产业开发区管委会,28,28,20,28,28
上海证券交易所,上海证券交易所,8,8,6,0,0
云南省人民医院,云南省人民医院,2,2,0,0,0
北京证券交易所,北京证券交易所,2,2,0,0,0
江苏省大数据管理中心,江苏省大数据管理中心,30,30,6,20,20
哈尔滨银行股份有限公司,哈尔滨银行股份有限公司,4,4,0,0,0
深圳证券交易所,深圳证券交易所,4,4,0,0,0
陕西省数字政府管理局,陕西省数字政府管理局,2,2,0,0,0
重庆农村商业银行股份有限公司,重庆农村商业银行股份有限公司,8,8,4,4,4
中山大学,中山大学,4,4,3,0,0
中国农业银行山东省分行,中国农业银行山东省分行,15,15,9,10,10
江苏省人民医院,江苏省人民医院,2,0,0,0,0
浙江省人民医院,浙江省人民医院,2,2,0,0,2
深圳市平安银行股份有限公司,深圳市平安银行股份有限公司,78,78,26,72,72
长沙银行股份有限公司,长沙银行股份有限公司,10,10,5,8,8
广州市越秀区教育局,广州市越秀区教育局,3,3,0,0,0
山西银行股份有限公司,山西银行股份有限公司,6,6,0,0,0
兰州银行股份有限公司,兰州银行股份有限公司,1,1,0,0,0
成都市大数据和电子政务局,成都市大数据和电子政务局,6,6,0,0,0
重庆市大数据发展局,重庆市大数据发展局,4,4,0,0,0
广州农商银行股份有限公司,广州农商银行股份有限公司,12,12,6,12,12
南宁市大数据发展局,南宁市大数据发展局,2,2,0,0,0
