opp_code,opp_name,contract_amount,customer_customer_name,opp_status
太平洋保险-BI-项目,太平洋保险-BI-项目,1900000.00,中国太平洋保险（集团）股份有限公司,签约成功
国泰君安-BI-项目,国泰君安-BI-项目,1900000.00,国泰君安证券股份有限公司,签约成功
阿里巴巴-CRM-项目,阿里巴巴-CRM-项目,1900000.00,阿里巴巴（中国）有限公司,签约成功
北交所-BI-续签项目,北交所-BI-续签项目,1850000.00,北京证券交易所,签约成功
华为-MASS-项目,华为-MASS-项目,1800000.00,华为技术有限公司,签约成功
腾讯-CRM-项目,腾讯-CRM-项目,1720000.00,深圳市腾讯计算机系统有限公司,签约成功
建行天津-BI-项目,建行天津-BI-项目,1700000.00,中国建设银行股份有限公司天津分行,签约成功
鄂省人民医院-BI-项目,鄂省人民医院-BI-项目,1680000.00,湖北省人民医院,签约成功
广州农商-BI-项目,广州农商-BI-项目,1620000.00,广州农商银行股份有限公司,签约成功
平安银行-MASS-项目,平安银行-MASS-项目,1600000.00,深圳市平安银行股份有限公司,签约成功
重庆农商-BI-项目,重庆农商-BI-项目,1520000.00,重庆农村商业银行股份有限公司,签约成功
南京银行-BI-项目,南京银行-BI-项目,1520000.00,南京银行股份有限公司,签约成功
北京大数据-BI-项目,北京大数据-BI-项目,1500000.00,北京市大数据中心,签约成功
北京协和-BI-项目,北京协和-BI-项目,1450000.00,首都医科大学附属北京协和医院,签约成功
华为-CRM-项目,华为-CRM-项目,1440000.00,华为技术有限公司,签约成功
苏省数据-数据工厂-项目,苏省数据-数据工厂-项目,1430000.00,江苏省大数据管理中心,签约成功
上交所-CRM-项目,上交所-CRM-项目,1420000.00,上海证券交易所,签约成功
北京银行-BI-项目,北京银行-BI-项目,1420000.00,北京银行股份有限公司,签约成功
浦发银行-BI-项目,浦发银行-BI-项目,1400000.00,上海浦东发展银行股份有限公司,签约成功
浙省人民医院-BI-项目,浙省人民医院-BI-项目,1350000.00,浙江省人民医院,签约成功
宁波银行-BI-项目,宁波银行-BI-项目,1350000.00,宁波银行股份有限公司,签约成功
苏省大数据-BI-项目,苏省大数据-BI-项目,1350000.00,江苏省大数据管理中心,签约成功
青岛银行-BI-项目,青岛银行-BI-项目,1280000.00,青岛银行股份有限公司,签约成功
苏州工业园-BI-项目,苏州工业园-BI-项目,1250000.00,苏州工业园区管委会,签约成功
川省人民医院-BI-项目,川省人民医院-BI-项目,1250000.00,四川省人民医院,签约成功
长沙银行-BI-项目,长沙银行-BI-项目,1250000.00,长沙银行股份有限公司,签约成功
武汉商行-BI-项目,武汉商行-BI-项目,1250000.00,武汉市商业银行股份有限公司,签约成功
华为-DQC-项目,华为-DQC-项目,1200000.00,华为技术有限公司,签约成功
北京海淀-BI-项目,北京海淀-BI-项目,1200000.00,北京市海淀区人民政府,签约成功
贵州大数据-数据工厂-项目,贵州大数据-数据工厂-项目,1150000.00,贵州省大数据发展管理局,签约成功
浦发银行-数据工厂-项目,浦发银行-数据工厂-项目,1150000.00,上海浦东发展银行股份有限公司,签约成功
盛京银行-BI-项目,盛京银行-BI-项目,1150000.00,盛京银行股份有限公司,签约成功
徽商银行-BI-项目,徽商银行-BI-项目,1150000.00,徽商银行股份有限公司,签约成功
上海大数据-CRM-项目,上海大数据-CRM-项目,1150000.00,上海市大数据中心,签约成功
厦门国际银行-BI-项目,厦门国际银行-BI-项目,1150000.00,厦门国际银行股份有限公司,签约成功
郑州银行-BI-项目,郑州银行-BI-项目,1150000.00,郑州银行股份有限公司,签约成功
山东人民医院-BI-项目,山东人民医院-BI-项目,1150000.00,山东省人民医院,签约成功
深交所-CRM-项目,深交所-CRM-项目,1150000.00,深圳证券交易所,签约成功
国投中债-BI-项目,国投中债-BI-项目,1100000.00,北京国投中债资产管理有限公司,签约成功
深圳数字政府-BI-项目,深圳数字政府-BI-项目,1100000.00,深圳市数字政府研究院,签约成功
上交大-CRM-项目,上交大-CRM-项目,1100000.00,上海交通大学,签约成功
电力建设-BI-项目,电力建设-BI-项目,1100000.00,中国电力建设股份有限公司,签约成功
苏省人民医院-BI-项目,苏省人民医院-BI-项目,1050000.00,江苏省人民医院,签约成功
西安银行-BI-项目,西安银行-BI-项目,1050000.00,西安银行股份有限公司,签约成功
福州银行-BI-项目,福州银行-BI-项目,1050000.00,福州银行股份有限公司,签约成功
哈尔滨银行-BI-项目,哈尔滨银行-BI-项目,1050000.00,哈尔滨银行股份有限公司,签约成功
粤省人民医院-BI-项目,粤省人民医院-BI-项目,1050000.00,广东省人民医院,签约成功
